Milos Raonic,2016-0352,3
Robin Haase,2016-0352,2
Jo-Wilfried Tsonga,2016-0352,2
Tomas Berdych,2016-0352,2
Gilles Simon,2016-0352,2
Julien Benneteau,2016-0352,2
Andreas Seppi,2016-0352,2
Pierre Hugues Herbert,2016-0352,2
Dusan Lajovic,2016-0352,2
Novak Djokovic,2016-0352,2
Marcos Baghdatis,2016-0352,1
Pablo Carreno Busta,2016-0352,1
Nikoloz Basilashvili,2016-0352,1
Ryan Harrison,2016-0352,1
Dustin Brown,2016-0352,1
Malek Jaziri,2016-0352,1
Gilles Muller,2016-0352,1
Nicolas Mahut,2016-0352,1
Lucas Pouille,2016-0352,1
Paolo Lorenzi,2016-0352,1
Feliciano Lopez,2016-0352,1
Fernando Verdasco,2016-0352,1
Lukas Rosol,2016-0352,1
Ivo Karlovic,2016-0352,1
Radu Albot,2016-0352,1
Grigor Dimitrov,2016-0352,1
Steve Johnson,2016-0352,1
Kei Nishikori,2016-0352,1
Albert Ramos,2016-0352,1
Joao Sousa,2016-0352,1
Richard Gasquet,2016-0352,1
Viktor Troicki,2016-0352,1
Pablo Cuevas,2016-0352,1
David Goffin,2016-0352,1
Federico Delbonis,2016-0360,4
Maximo Gonzalez,2016-0360,3
Borna Coric,2016-0360,3
Nikola Mektic,2016-0360,3
Albert Montanes,2016-0360,3
Jiri Vesely,2016-0360,3
Paul Henri Mathieu,2016-0360,2
Franko Skugor,2016-0360,2
Pablo Carreno Busta,2016-0360,2
Facundo Bagnis,2016-0360,2
Lorenzo Giustino,2016-0360,2
Andrey Rublev,2016-0360,1
Denis Istomin,2016-0360,1
Thiemo De Bakker,2016-0360,1
Daniel Gimeno Traver,2016-0360,1
Maxime Chazal,2016-0360,1
Guillermo Garcia Lopez,2016-0360,1
Nicolas Almagro,2016-0360,1
Simone Bolelli,2016-0360,1
Elias Ymer,2016-0360,1
Mathias Bourgue,2016-0360,1
Michael Mmoh,2016-0363,5
Peter Polansky,2016-0363,4
Yuki Bhambri,2016-0363,3
Stefan Kozlov,2016-0363,3
Daniel Cox,2016-0363,3
Jared Hiltzik,2016-0363,3
Jared Donaldson,2016-0363,3
Austin Krajicek,2016-0363,2
Mackenzie McDonald,2016-0363,2
Edward Corrie,2016-0363,2
Liam Broady,2016-0363,2
Ruben Bemelmans,2016-0363,2
Timo Stodder,2016-0363,2
Dennis Novikov,2016-0363,1
Rhyne Williams,2016-0363,1
Peter Kobelt,2016-0363,1
Eric Quigley,2016-0363,1
Tim Van Rijthoven,2016-0363,1
Tennys Sandgren,2016-0363,1
Daniel Evans,2016-0363,1
Noah Rubin,2016-0363,1
Sam Groth,2016-0363,1
Frances Tiafoe,2016-0363,1
Ryan Shane,2016-0363,1
Henrik Wiersholm,2016-0363,1
Tim Smyczek,2016-0363,1
Joe Salisbury,2016-0363,1
Dustin Brown,2016-0375,5
Paul Henri Mathieu,2016-0375,4
Richard Gasquet,2016-0375,4
Alexander Zverev,2016-0375,3
Kenny De Schepper,2016-0375,3
Edouard Roger Vasselin,2016-0375,3
Elias Ymer,2016-0375,2
Michael Berrer,2016-0375,2
John Millman,2016-0375,2
Ruben Bemelmans,2016-0375,2
Marcos Baghdatis,2016-0375,2
Ernests Gulbis,2016-0375,1
Kimmer Coppejans,2016-0375,1
Jan Lennard Struff,2016-0375,1
Taro Daniel,2016-0375,1
David Guez,2016-0375,1
Karen Khachanov,2016-0375,1
Igor Sijsling,2016-0375,1
Radu Albot,2016-0396,5
Lorenzo Sonego,2016-0396,4
Jan Lennard Struff,2016-0396,4
Blaz Rola,2016-0396,3
Tobias Kamke,2016-0396,3
Arthur De Greef,2016-0396,3
Maximo Gonzalez,2016-0396,3
Caio Zampieri,2016-0396,3
Thiago Monteiro,2016-0396,2
Gerald Melzer,2016-0396,2
Dennis Novak,2016-0396,2
Jozef Kovalik,2016-0396,2
Omar Jasika,2016-0396,2
Yannick Maden,2016-0396,2
Tim Van Rijthoven,2016-0396,2
Albert Montanes,2016-0396,2
Guilherme Clezar,2016-0396,1
Tomas Lipovsek Puches,2016-0396,1
Maxime Janvier,2016-0396,1
Malek Jaziri,2016-0396,1
Sumit Nagal,2016-0396,1
Luca Vanni,2016-0396,1
Tomislav Brkic,2016-0396,1
Andreas Beck,2016-0396,1
Aleksandr Nedovyesov,2016-0396,1
Nicolas Barrientos,2016-0396,1
Stefano Napolitano,2016-0396,1
Andrea Arnaboldi,2016-0396,1
Yan Bai,2016-0396,1
Julian Reister,2016-0396,1
Taro Daniel,2016-0396,1
Jordan Thompson,2016-0398,5
Frederik Nielsen,2016-0398,5
Adam Pavlasek,2016-0398,4
Maxime Teixeira,2016-0398,4
Sadio Doumbia,2016-0398,3
Vincent Millot,2016-0398,3
Kenny De Schepper,2016-0398,3
Maxime Authom,2016-0398,3
Daniel Brands,2016-0398,2
Karen Khachanov,2016-0398,2
Pierre Hugues Herbert,2016-0398,2
Evgeny Karlovskiy,2016-0398,2
Miliaan Niesten,2016-0398,2
Erik Crepaldi,2016-0398,2
Germain Gigounon,2016-0398,2
Corentin Moutet,2016-0398,1
Henri Laaksonen,2016-0398,1
Gianluca Mager,2016-0398,1
Jeremy Jahn,2016-0398,1
Hugo Nys,2016-0398,1
Yannik Reuter,2016-0398,1
Markus Eriksson,2016-0398,1
Hugo Grenier,2016-0398,1
Andrey Rublev,2016-0398,1
Aldin Setkic,2016-0398,1
Yoshihito Nishioka,2016-0398,1
Salvatore Caruso,2016-0398,1
Ramkumar Ramanathan,2016-0398,1
Tristan Lamasine,2016-0398,1
Filip Krajinovic,2016-0398,1
Taylor Fritz,2016-0402,4
Yoshihito Nishioka,2016-0402,4
Kei Nishikori,2016-0402,4
Ricardas Berankis,2016-0402,3
Henri Laaksonen,2016-0402,3
Mikhail Kukushkin,2016-0402,2
Michael Mmoh,2016-0402,2
Sam Querrey,2016-0402,2
Benjamin Becker,2016-0402,2
Jared Donaldson,2016-0402,2
Illya Marchenko,2016-0402,1
Denis Kudla,2016-0402,1
Damir Dzumhur,2016-0402,1
John Millman,2016-0402,1
Ryan Harrison,2016-0402,1
James Mcgee,2016-0402,1
Donald Young,2016-0402,1
Marcel Granollers,2016-0402,1
Adrian Menendez Maceiras,2016-0402,1
Radu Albot,2016-0402,1
Bjorn Fratangelo,2016-0402,1
Christina Mchale,2016-0405,5
Katerina Siniakova,2016-0405,4
Su Jeong Jang,2016-0405,4
Rebecca Peterson,2016-0405,4
Erika Sema,2016-0405,3
Shuai Zhang,2016-0405,3
Miyu Kato,2016-0405,3
Jana Cepelova,2016-0405,3
Alison Riske,2016-0405,2
Kurumi Nara,2016-0405,2
Varvara Lepchenko,2016-0405,2
Viktorija Golubic,2016-0405,2
Antonia Lottner,2016-0405,2
Daniela Hantuchova,2016-0405,2
Varatchaya Wongteanchai,2016-0405,2
Sabina Sharipova,2016-0405,2
Louisa Chirico,2016-0405,1
Magda Linette,2016-0405,1
Ayaka Okuno,2016-0405,1
Shuko Aoyama,2016-0405,1
Ayano Shimizu,2016-0405,1
Yulia Putintseva,2016-0405,1
Naomi Osaka,2016-0405,1
Yi Fan Xu,2016-0405,1
Aliaksandra Sasnovich,2016-0405,1
Na Lae Han,2016-0405,1
Zhaoxuan Yang,2016-0405,1
Miharu Imanishi,2016-0405,1
Johanna Larsson,2016-0405,1
Mirjana Lucic,2016-0406,6
Caroline Garcia,2016-0406,5
Alla Kudryavtseva,2016-0406,4
Virginie Razzano,2016-0406,4
Jil Belen Teichmann,2016-0406,3
Kristina Mladenovic,2016-0406,3
Pauline Parmentier,2016-0406,2
Yi Fan Xu,2016-0406,2
Alize Lim,2016-0406,2
Samantha Stosur,2016-0406,2
Lauren Davis,2016-0406,2
Elena Vesnina,2016-0406,2
Amandine Hesse,2016-0406,1
Zarina Diyas,2016-0406,1
Yafan Wang,2016-0406,1
Kai Lin Zhang,2016-0406,1
Irina Ramialison,2016-0406,1
Alison Riske,2016-0406,1
Timea Babos,2016-0406,1
Su Wei Hsieh,2016-0406,1
Monica Puig,2016-0406,1
Kateryna Bondarenko,2016-0406,1
Sloane Stephens,2016-0406,1
Shelby Rogers,2016-0406,1
Nicolas Mahut,2016-0407,5
Martin Klizan,2016-0407,5
Gael Monfils,2016-0407,4
Philipp Kohlschreiber,2016-0407,3
Ivan Dodig,2016-0407,3
Ernests Gulbis,2016-0407,2
Viktor Troicki,2016-0407,2
Marin Cilic,2016-0407,2
Roberto Bautista Agut,2016-0407,2
Alexander Zverev,2016-0407,2
Andrey Kuznetsov,2016-0407,2
Marcos Baghdatis,2016-0407,1
Jiri Vesely,2016-0407,1
Steve Darcis,2016-0407,1
Lucas Pouille,2016-0407,1
Gilles Muller,2016-0407,1
Gilles Simon,2016-0407,1
Hyeon Chung,2016-0407,1
Borna Coric,2016-0407,1
Jan Lennard Struff,2016-0407,1
Jeremy Chardy,2016-0407,1
Evgeny Donskoy,2016-0407,1
Gael Monfils,2016-0410,5
Rafael Nadal,2016-0410,5
Damir Dzumhur,2016-0410,4
Jo-Wilfried Tsonga,2016-0410,3
Pierre Hugues Herbert,2016-0410,3
Taro Daniel,2016-0410,3
Marcel Granollers,2016-0410,3
Milos Raonic,2016-0410,3
Andy Murray,2016-0410,3
Lucas Pouille,2016-0410,2
Stephane Robert,2016-0410,2
Roger Federer,2016-0410,2
David Goffin,2016-0410,2
Benoit Paire,2016-0410,2
Jiri Vesely,2016-0410,2
Roberto Bautista Agut,2016-0410,2
Filip Krajinovic,2016-0410,2
Gilles Simon,2016-0410,2
Stan Wawrinka,2016-0410,2
Daniel Gimeno Traver,2016-0410,2
Dominic Thiem,2016-0410,2
Jan Lennard Struff,2016-0410,2
Facundo Bagnis,2016-0410,1
Aljaz Bedene,2016-0410,1
Thomas Fabbiano,2016-0410,1
Benjamin Balleret,2016-0410,1
Jeremy Chardy,2016-0410,1
Alexander Zverev,2016-0410,1
Pablo Cuevas,2016-0410,1
Grigor Dimitrov,2016-0410,1
Richard Gasquet,2016-0410,1
Santiago Giraldo,2016-0410,1
Pablo Carreno Busta,2016-0410,1
Philipp Kohlschreiber,2016-0410,1
Guillermo Garcia Lopez,2016-0410,1
Mikhail Youzhny,2016-0410,1
Paolo Lorenzi,2016-0410,1
Fernando Verdasco,2016-0410,1
Hugo Nys,2016-0410,1
Joao Sousa,2016-0410,1
